Age	Male	Female
0	0.00355799	0.00307816
1	0.00028674	0.0002348
2	0.0001689	0.00011769
3	0.00010625	0.00011507
4	0.00010642	0.000096
5	0.00009935	0.00009236
6	0.00009456	0.00008063
7	0.00007673	0.0000534
8	0.00008464	0.0000638
9	0.0000685	0.00005629
10	0.0000747	0.00006195
11	0.0000812	0.00007646
12	0.00006433	0.00008856
13	0.00009122	0.00009208
14	0.00012483	0.00010112
15	0.0001507	0.000132
16	0.00024631	0.00015033
17	0.00028228	0.00014211
18	0.00037497	0.00019816
19	0.00040767	0.00018288
20	0.00044903	0.00019433
21	0.00042592	0.00017331
22	0.00045609	0.00017102
23	0.00041893	0.0001956
24	0.0004775	0.00017598
25	0.00045082	0.00018379
26	0.0004666	0.00020076
27	0.00048965	0.00022332
28	0.00049911	0.00024337
29	0.00057045	0.00026531
30	0.00058054	0.00031358
31	0.00067469	0.00032291
32	0.00068715	0.00034393
33	0.00073444	0.00035441
34	0.00079414	0.00041363
35	0.00085659	0.0004152
36	0.00089093	0.00044836
37	0.0010015	0.00046953
38	0.00103425	0.00059135
39	0.00109674	0.00058947
40	0.00125761	0.00069883
41	0.00132704	0.00072007
42	0.00144346	0.00080178
43	0.0015843	0.00090225
44	0.00180562	0.00100426
45	0.00201464	0.00113496
46	0.00220327	0.00125131
47	0.0024276	0.00140113
48	0.00272782	0.00160369
49	0.00304465	0.0017814
50	0.00340019	0.00189618
51	0.00376454	0.00214215
52	0.00428601	0.00240418
53	0.00482121	0.00265938
54	0.0054668	0.00297435
55	0.0060419	0.00329272
56	0.0067489	0.00361167
57	0.00738687	0.00397262
58	0.00832665	0.0044026
59	0.00913909	0.0047072
60	0.00993406	0.00535081
61	0.01092612	0.00572741
62	0.01200564	0.00612894
63	0.01311172	0.00667138
64	0.01427103	0.00732674
65	0.01547851	0.00797811
66	0.01646079	0.00873352
67	0.01790877	0.00961276
68	0.01941253	0.01056483
69	0.02081856	0.0111933
70	0.02274331	0.01267281
71	0.02436666	0.01361476
72	0.02643125	0.01477104
73	0.0288836	0.01619751
74	0.03075516	0.01730249
75	0.03424591	0.01926698
76	0.03736671	0.02158083
77	0.04140617	0.02425485
78	0.04590807	0.02776813
79	0.05111947	0.03207019
80	0.05828064	0.0379784
81	0.065656	0.04362293
82	0.07439181	0.05046506
83	0.08308853	0.05751052
84	0.09446417	0.06688717
85	0.10740229	0.07770572
86	0.11995688	0.08870093
87	0.13352569	0.10087133
88	0.14951618	0.11511124
89	0.16406864	0.13085329
90	0.1826334	0.14958045
91	0.20201201	0.16877528
92	0.22593664	0.18889085
93	0.24402597	0.21046571
94	0.27084145	0.23250336
95	0.29365205	0.25874624
96	0.31417842	0.27447626
97	0.33147163	0.29650023
98	0.34796946	0.30789399
99	0.36909453	0.33060074
